Session ID,Purchase.Intention,Household.income,Age ,Adults.household,Chidren.household,LFC,NB,LP,CF,Flavors,why.purchase,why.dont.purchase
225452356,3,"$100,001 - $150,000",40.5,4,2,0,2,2,2,chocolate chip cookie dough; peanut butter cup in vanilla ice cream; brownie and vanilla ice cream.,price,
225452359,3,"$75,001 -  $100,000",40.5,2,3,0,2,1,3,"chocolate chip cookie dough, mint chocolate chip, butter pecan",,Our family is partial to Turkey Hill.  Habit.
225452368,1,Prefer not to say,60.5,2,0,3,1,0,2,,,would melt before I got it home
225452383,2,"$100,001 - $150,000",50.5,1,2,2,2,0,2,,,"I live 35 minutes away and don't buy frozen items like ice cream that get too soft, even in a cooler."
225452386,,"$100,001 - $150,000",50.5,2,0,0,3,1,2,,,
225452388,3,"$50,000 - $75,000",40.5,2,1,1,0,2,3,"yes, taste is important",very good,
225452390,1,Prefer not to say,30.5,2,0,1,3,2,0,,,I like Eddy's and Turkey hill & bryers
225452393,2,"Under $50,000",70.5,1,0,2,2,1,1,,,
225452402,2,"$150,001 - $200,000",50.5,5,0,3,2,1,0,,Fat & calorie count and flavor,
225452410,1,"$100,001 - $150,000",50.5,2,0,1,3,0,2,,,i don't know
225452428,1,"$100,001 - $150,000",50.5,3,0,3,1,0,2,,,I prefer Breyer's
225452437,,"Under $50,000",50.5,1,0,2,3,1,0,,,
225452459,4,Prefer not to say,60.5,2,0,3,1,0,2,"coffee, caramel praline, fudge swirl",,Because I like Eddy's
225452469,3,Prefer not to say,50.5,2,0,3,2,0,1,"vanilla w caramel swirl, turtle, vanilla w chocolate chip & nuts, cherry w chocolate chips, banana w walnuts and chocolate chips, lemon-raspberry or blueberry swirl, frankly just look at the Ben and Jerry's full line up. ",probably flavor variety offered,
225452470,4,Prefer not to say,70.5,2,0,3,0,2,1,"Raspberry swirl, something with chocolate pieces, preferably like the healthy choice with coffee flavor and choc pieces, try to copy Ben&Jerry's Phish Food and Cherry Garcia, also copy Perry's American Moose.",Price and flavor choice matched what I was looking for,
225452474,3,Prefer not to say,40.5,2,1,1,0,3,2,"brownie, caramel, birthday cake",price,
225452477,3,Prefer not to say,60.5,2,0,0,2,1,3,"cookie dough, peach, dulce de leche",,"I'd want to sample it before I bought a carton to make sure it didn't taste ""low fat"""
225452487,4,"$100,001 - $150,000",50.5,3,0,3,0,2,1,"Strawberry, chocolate, coffee, pistachio",I love the brand,
225452490,2,"Over $200,000",40.5,2,2,3,0,1,2,,Because Wegmans has terrific store brands,
